genre,description,year,ancestor
1-bit music,music genre,,bit music
2 tone,British popular music of the late 1970s and early 1980s,1979,ska
2-step garage,UK garage subgenre,1998,UK garage
20th-century classical music,art movement,1900,classical music
21st-century classical music,"art music, in the contemporary classical tradition, that has been produced since the year 2000",2000,classical music
3-step,music genre,2018,Afro house
4-beat,style of happy hardcore that emerged around 1993,1993,happy hardcore
60s pop/rock,music genre,,pop rock
77 punk,music genre,,punk rock
8-bit music,style of electronic music,,bit music
A&D,music genre,,electronic music
A-pop,music genre and scene,,popular music
AI-generated music,music produced via extensive use of generative AI,,musical work
Abakuá music,music genre,,music of Cuba
Abecedarian hymn,"hymn that begins with the letter A, and each verse or clause following begins with the next letter of the alphabet",,hymn
Abendmusik,concert of church music in Lübeck,1700,musical performance
Abhang,form of Hindu devotional poetry,,Hindustani classical music
Abidat Rma,Music genre in Morocco,,
Abkhazian folk music,music genre,,music of Georgia
Abwe,music genre,,
Achaemenid music,music of the Achaemenid Empire,,music of Iran
Achewiq,music genre,,Kabyle music
Acholi music,"traditional music of the Acholi people of Northern Uganda (and neighboring South Sudan), centered on communal dancing, call-and-response singing, and rich polyrhythmic drumming",,music of East Africa
Achomi music,music genre,,music of Iran
Adamma Dance,Adamma is an igbo traditional dance that glorifies the beauty of a young maiden,,dance music
Adjukru music,music genre,,music of West Africa
Advent song,seasonal Christian hymn intended for Advent,,Christian hymn
Aegean islands folk music,music genre,,Greek folk music
Afar music,music genre,,music of Northeast Africa
Afghan hip hop,music genre and scene,,music of Afghanistan
African blues,African music genre,,blues
African classical music,music genre,,music of Africa
African folk music,music genre,,traditional folk music
African gospel,genre of Gospel,1620,gospel music
African heavy metal,music genre and scene,,heavy metal music
African hip-hop,group of music genres of scenes,,hip-hop
African popular music,overview of popular music in Africa,,popular music
African reggae,music genre,1980,reggae
African trap music,South African hip hop genre and subgenre of trap music,,trap music
African-American music,broad term covering a diverse range of musical genres largely developed by African Americans and their culture,,music of the United States
Afrikaans folk music,music genre,,Afrikaans music
Afrikaans gqom,variant of gqom,2023,gqom
Afrikaans music,music developed by the Afrikaner ethnolinguistic group,,music of Southern Africa
Afro,music genre,,Afro-Cuban music
Afro fusion,South African dance genre and musical genre,1970,music of South Africa
Afro house,subgenre of house music,2005,house music
Afro tech,music genre,,Afro house
Afro trap,music genre,2015,trap music
Afro-Brazilian music,music genre,,music of Brazil
Afro-Caribbean music,music genre,,music of the Caribbean
Afro-Colombian music,music genre,,music of Colombia
Afro-Cuban jazz,music genre,1948,Latin jazz
Afro-Cuban music,music genre,,music of Cuba
Afro-Peruvian music,music genre,,music of Peru
Afro-Surinamese music,music style in Suriname,,music of Suriname
Afro-funk,music genre,,funk
Afro-jazz,"fusion music genre blending jazz harmony and improvisation with African rhythmic traditions, especially the South African ""African jazz"" movement of the 1950s rooted in marabi and kwela",,jazz
Afro-jùjú,music genre,,Jùjú music
Afro-punk,punk music made by African-diasporic people,,African-American music
Afro-raga,musical dialogue between Indian raga and West African music traditions,,raga
Afro-rock,style of rock music,,rock music
Afro-soul,music genre; fusion between soul music and African sound,,soul
Afro-zouk,music genre,,zouk
Afrobeat,music genre,1970,music of West Africa
Afrobeats,music genre,2008,pop music
Afrofuturism,musical movement,,
Afroma,music genre,,music of Malawi
Afropiano,fusion genre of afrobeats and amapiano,2020,Amapiano
Afrosounds,Music Genre,1990,Afrobeat
Afroswing,music genre,,hip-hop
Agamani-Vijaya,Bengali folk song genres,,Bengali folk music
Ahellil,Algerian music genre,,music of Algeria
Ahidus,Moroccan music genre,,folk dance
Aikawa Ondo,music genre and type of dance,,Bon Odori
Ainu folk music,Ainu music is the musical tradition of the Ainu people of northern Japan,,East Asian folk music
Ainu music,music genre,,music of East Asia
Ajisari,music genre,,Islamic music
Akan music,music of the Akan people of Ghana and Ivory Coast is based on some of the oldest musical traditions of West Africa,,music of West Africa
Akiba-pop,musical subgenre of J-pop originating in Akihabara,,J-pop
Akishibu-kei,music genre,,J-pop
Akron Sound,music genre or scene,,rock music
Akzhelen,music genre,,Kazakh folk music
Alaskan hip hop,Rap music genre,,American hip-hop
Albanian folk music,music genre,,music of Albania
Albanian hip hop,music genre or scene,,music of Albania
Albanian iso-polyphony,Albanian iso-polyphony is a traditional part of Albanian folk music and a UNESCO Intangible Cultural Heritage.,,polyphony
Albanian pop-folk,music genre,,Balkan pop-folk
Albanian rock,music genre or scene,,rock music
Albanian urban lyric song,music genre,,music of Albania
Alevi folk music,music genre,,music of Turkey
Algerian chaabi,music genre in Algeria,2000,chaabi
Algerian hip hop,music genre or scene,1988,African hip-hop
Algerian jazz,music genre or scene,,jazz
Algerian malouf,Algerian Arab-Andalusian scholarly music directory of the School of Constantine,,ma'luf
Algerian rock,music genre or scene,,rock music
Almlied,music genre,,Alpine folk music
Alpenrock,music genre,,folk rock
Alpine folk music,"folk music that has been handed down mainly in the German-speaking Alpine countries of Bavaria, Austria, Switzerland and South Tyrol",,European folk music
Alpine music,music genre,,music of Europe
Alpini song,music genre,,Alpine folk music
Alsatian folk music,music genre,,French folk music
Altai folk music,music genre,,Asian folk music
Alyor,kind of Uzbek folk genre,,traditional folk song
Amanes,traditional vocal musical genre from the Eastern Mediterranean,,
Amapiano,subgenre of house music from South Africa,2012,house music
Ambrosian chant,liturgical plainchant repertory of the Ambrosian rite of the Roman Catholic Church,,plainsong
American art song,music genre,,art song
American fiddle,music genre,,
American folk music,group of folk music genres from the United States,,traditional folk music
American gamelan,style and scene of gamelan music,,gamelan
American hardcore punk,music genre or scene,,hardcore punk
American hip-hop,music genre or scene,,hip-hop
American march music,music genre,,march
American metal,music genre or scene,,metal music
American patriotic music,music reflecting the history and culture of the United States,,patriotic music
American pop,music genre or scene,,pop music
American primitive guitar,fingerstyle guitar music genre,1959,contemporary folk music
American progressive rock,music genre or scene,,progressive rock
American punk rock,music genre or scene,,punk rock
American rock,overview of rock music in the United States,,rock music
American roots music,music genre,,American folk music
American trad rock,music genre,,American rock
Americana,genre of music and radio format,,music of North America
Amerindie,indie music scene,,independent music
Ameripolitan,music genre,,
Anatolian blues,type of music that is a combination of Turkish folk music and blues,,blues
Anatolian rock,genre that emerged through a fusion of Turkish folk music and rock,1965,Turkish rock
Andalusi classical music,genre of music originally developed in al-Andalus by the Muslim population of the region and the Moors,1000,music of North Africa
Andalusi nubah,musical genre of the Arab-Andalusian type (or Andalusian music) that in the 9th century was from Baghdad to Cordoba and Granada. It is traditionally found in the countries of Maghreb Africa,,Arabic classical music
Andalusian folk music,music genre,,music of Andalusia
Andean folk music,music genre,,Andean music
Andean music,music and musical traditions of indigenous people of Andean region,,Hispanic American music
Andean music (Colombia),music genre,,Andean music
Andean music of Peru,music genre,,Andean music
Andean new age music,fusion genre of new-age music with Peruvian flute and/or Paraguayan harp music,1980,new age music
Angklung buncis,music genre or performing arts genre,,traditional folk music
Anglesey folk music,music genre,,Welsh folk music
Anglican chant,form of church singing,,church music
Anglican church music,"music that is written for Christian worship in Anglican religious services, forming part of the liturgy",1600,church music
Anglican hymn,Christian hymn used in Anglican services,,Christian hymn
Anglo-American music,music genre,,
Angolan rock,music genre or scene,,rock music
Antsa (praise),Traditional praise in northern Madagascar,,music of Madagascar
Appalachian folk music,music genre,,American folk music
Appalachian music,traditional music of the American Appalachian Mountains region,,music of the United States
Appenzeller string music,"Music from Appenzell, Sweden",,music of Switzerland
Arabesque pop,music genre,,pop music
Arabesque rock,Turkish music sub genre,,Anatolian rock
Arabic belly dance music,music genre,,Arabic folk music
Arabic classical music,music genre,,Arabic music
Arabic folk music,music genre,,traditional folk music
Arabic hip-hop,music genre or scene,,hip-hop
Arabic jazz,music genre,,jazz
Arabic music,music of the Arab world,,music of the Middle East
Arabic pop,subgenre of pop music and Arabic music,,pop music
Arabic rock,a wide variety of forms of music made in the Arab World,,rock music
Aragonese folk music,music genre,,Spanish folk music
Aragonese rock,music genre or scene,,rock music
Aramaic music,music genre,,
Argentine cumbia,umbrella term; dance and music style known as cumbia in Argentina,,cumbia
Argentine folklore,music genre,,music of Argentina
Argentine heavy metal,music genre or scene,,heavy metal music
Argentine hip-hop,music genre and scene,,music of Argentina
Argentine punk,music genre or scene,,music of Argentina
Argentine rock,rock music composed or performed by Argentine bands or artists mostly in Spanish,,rock music
Argentine tango,musical genre and accompanying social dance originating at the end of the 19th century in the suburbs of Buenos Aires and Montevideo,1905,tango
Argentinian blues,music genre or scene,,blues
Argentinian popular music,music genre and scene,,popular music
Armenian chant,music genre,,Christian hymn
Armenian church music,music genre,,church music
Armenian folk dance song,music genre,,Armenian folk music
Armenian folk music,music genre,,music of Armenia
Armenian jazz,music genre or scene,,jazz
Armenian rock,music genre or scene,,rock music
Armenian rural music,music of Armenians in rural areas,,Armenian folk music
Aromanian folk music,music genre,,Balkan folk music
Aromanian music,Music of the Aromanians,,music of the Balkans
Ashiqs of Azerbaijan,intangible cultural heritage,,ashik
Ashkenazi cantorial music,music genre,,Ashkenazi music
Ashkenazi music,music genre,,Jewish music
Ashug music,music genre,,traditional folk music
Asian American hip hop,music genre or scene,,American hip-hop
Asian Underground,music genre and scene,,ethnic electronica
Asian folk music,music genre,,traditional folk music
Asian hip-hop,group of music genres or scenes,,hip-hop
Assaggio,music genre,,
Assamese folk music,music genre,,South Asian folk music
Assyrian folk music,music genre,,Arabic folk music
Assyrian folk/pop,music genre,,Arabic pop
Asturian folk music,music genre,,music of Asturias
Athabaskan fiddle,music genre,,
Athabaskan fiddling,music genre,,indigenous music of North America
Atlanta bass,music genre,1989,Miami bass
Atlanta blues,music genre or scene,,blues
Atomic Platters,short-lived sub-genre of 1940s and 1950s pop music concerned with an atomic World War Three and its aftermath,,pop music
Aussie rock,particular style of tough hard rock performed by Australian bands,,hard rock
Australian country music,genre of popular music from Australia,,country music
Australian folk music,music genre,,traditional folk music
Australian hardcore,music genre or scene,,hardcore punk
Australian hip-hop,music genre or scene,1982,hip-hop
Australian indie rock,part of the overall flow of Australian rock history,,indie rock
Australian jazz,music genre or scene,,jazz
Australian punk rock,Australian music scene,,punk rock
Australian reggae,Australian music scene,,reggae
Australian rock,Australian appreciation of and contributions to the rock music genre,,rock music
Australian ska,music genre or scene since the mid-1980s,,ska
Australian thrash metal,Australian music scene,,thrash metal
Austrian folk music,type of European folk music,,Alpine folk music
Austrian hip hop,music genre or scene,,music of Austria
Austronesian music,music genre,,music of Oceania
Austropop,music genre or scene,1968,pop music
Auvergnat folk music,music genre,,Occitan folk music
Avanzada Regia,Mexican musical movement in the mid-1990s from Monterrey,1990,
Avar folk music,music genre,,Dagestani folk music
Azerbaijani classical music,music genre or scene,,music of Azerbaijan
Azerbaijani folk music,traditional music of Azerbaijan,,music of Azerbaijan
Azerbaijani hip hop,music genre or scene in Azerbaijan,,hip-hop
Azerbaijani jazz,music genre and scene,,jazz
Azerbaijani pop,music genre or scene,,pop music
Azerbaijani religious music,music genre,,music of Azerbaijan
Azerbaijani rock,Azerbaijani rock music,,rock music
Azonto,Ghanaian dance and music genre,2000,music of Ghana
Aztec music,music genre,,ancient music
B-Town,music scene,,
BMG movement,musical genre,,
Baganda music,Ugandan music culture,,music of East Africa
Bahamian rhyming spiritual,music genre,1920,music of the Bahamas
Bahia house,music genre,,electronic dance music
Bahoejy,Musical style,1979,music of Madagascar
Bailada,music genre,,
Baisha xiyue,music genre,1600,Chinese classical music
Baka music,music genre,,
Bakersfield sound,sub-genre of country music,1957,country music
Balakadri,music genre,,
Balearic beat,genre of electronic dance music,1987,electronic dance music
Balearic trance,subgenre of trance music,1991,trance
Balkan ballad,music genre,,sentimental ballad
Balkan beats,music genre,,popular folk music
Balkan brass,music genre,,Balkan folk music
Balkan folk music,folk music of the South Slavic countries,,European folk music
Balkan jazz,music genre or scene,,jazz
Balkan pop-folk,music genre,,music of the Balkans
Ball de bot,music genre and type of dance,,dance
Ballu tundu,music genre and type of dance,,folk dance
Balochi folk music,music genre,,Balochi music
Balochi music,music genre,,music of the Middle East
Baltic folk music,music genre,,European folk music
Baltimore club,genre of house and dance music,1988,house music
Balto-Finnic folk music,music genre,,European folk music
Bamar folk music,music genre,,Southeast Asian folk music
Bamar music,music genre,,music of Myanmar
Bambara music,music genre,,music of West Africa
Banamba,Saamaka dance and music in Suriname,,music of Suriname
Banda music,"music of the Banda people, a Central African ethnic group",,music of Central Africa
