item,title,genre,publicationdate,imdb,imdbs
http://www.wikidata.org/entity/Q745753,Mandingo,drama film,1875-07-25T00:00:00Z,tt0073349,https://www.imdb.com/title/tt0073349/
http://www.wikidata.org/entity/Q745753,Mandingo,boxing film,1875-07-25T00:00:00Z,tt0073349,https://www.imdb.com/title/tt0073349/
http://www.wikidata.org/entity/Q745753,Mandingo,action film,1875-07-25T00:00:00Z,tt0073349,https://www.imdb.com/title/tt0073349/
http://www.wikidata.org/entity/Q745753,Mandingo,blaxploitation film,1875-07-25T00:00:00Z,tt0073349,https://www.imdb.com/title/tt0073349/
http://www.wikidata.org/entity/Q4197925,Kissing in a Tunnel,silent film,1904-01-01T00:00:00Z,tt0451450,https://www.imdb.com/title/tt0451450/
http://www.wikidata.org/entity/Q3322525,Monte Cristo,silent film,1912-10-14T00:00:00Z,tt0002371,https://www.imdb.com/title/tt0002371/
http://www.wikidata.org/entity/Q3322525,Monte Cristo,adventure film,1912-10-14T00:00:00Z,tt0002371,https://www.imdb.com/title/tt0002371/
http://www.wikidata.org/entity/Q2515304,In the Land of the Head Hunters,silent film,1914-12-07T00:00:00Z,tt0004150,https://www.imdb.com/title/tt0004150/
http://www.wikidata.org/entity/Q2515304,In the Land of the Head Hunters,docufiction film,1914-12-07T00:00:00Z,tt0004150,https://www.imdb.com/title/tt0004150/
http://www.wikidata.org/entity/Q2515304,In the Land of the Head Hunters,drama film,1914-12-07T00:00:00Z,tt0004150,https://www.imdb.com/title/tt0004150/
http://www.wikidata.org/entity/Q15584559,Salvation Nell,silent film,1915-10-24T00:00:00Z,tt0006000,https://www.imdb.com/title/tt0006000/
http://www.wikidata.org/entity/Q15584559,Salvation Nell,drama film,1915-10-24T00:00:00Z,tt0006000,https://www.imdb.com/title/tt0006000/
http://www.wikidata.org/entity/Q105453326,The Eagle's Wings,drama film,1916-01-01T00:00:00Z,tt0006620,https://www.imdb.com/title/tt0006620/
http://www.wikidata.org/entity/Q105453326,The Eagle's Wings,silent film,1916-01-01T00:00:00Z,tt0006620,https://www.imdb.com/title/tt0006620/
http://www.wikidata.org/entity/Q20004708,The Devil's Toy,silent film,1916-01-01T00:00:00Z,tt0157536,https://www.imdb.com/title/tt0157536/
http://www.wikidata.org/entity/Q20004708,The Devil's Toy,drama film,1916-01-01T00:00:00Z,tt0157536,https://www.imdb.com/title/tt0157536/
http://www.wikidata.org/entity/Q107104415,The Colored American Winning His Suit,drama film,1916-07-14T00:00:00Z,tt0006536,https://www.imdb.com/title/tt0006536/
http://www.wikidata.org/entity/Q107104415,The Colored American Winning His Suit,silent film,1916-07-14T00:00:00Z,tt0006536,https://www.imdb.com/title/tt0006536/
http://www.wikidata.org/entity/Q107104415,The Colored American Winning His Suit,race film,1916-07-14T00:00:00Z,tt0006536,https://www.imdb.com/title/tt0006536/
http://www.wikidata.org/entity/Q28064501,Husband and Wife,drama film,1916-08-28T00:00:00Z,tt0006838,https://www.imdb.com/title/tt0006838/
http://www.wikidata.org/entity/Q28064501,Husband and Wife,silent film,1916-08-28T00:00:00Z,tt0006838,https://www.imdb.com/title/tt0006838/
http://www.wikidata.org/entity/Q21183808,The Heart of the Hills,silent film,1916-10-30T00:00:00Z,tt0006775,https://www.imdb.com/title/tt0006775/
http://www.wikidata.org/entity/Q21183808,The Heart of the Hills,drama film,1916-10-30T00:00:00Z,tt0006775,https://www.imdb.com/title/tt0006775/
http://www.wikidata.org/entity/Q107283542,The Trooper of Troop K,silent film,1917-01-01T00:00:00Z,tt0008699,https://www.imdb.com/title/tt0008699/
http://www.wikidata.org/entity/Q107283542,The Trooper of Troop K,war film,1917-01-01T00:00:00Z,tt0008699,https://www.imdb.com/title/tt0008699/
http://www.wikidata.org/entity/Q107283542,The Trooper of Troop K,short film,1917-01-01T00:00:00Z,tt0008699,https://www.imdb.com/title/tt0008699/
http://www.wikidata.org/entity/Q107283542,The Trooper of Troop K,drama film,1917-01-01T00:00:00Z,tt0008699,https://www.imdb.com/title/tt0008699/
http://www.wikidata.org/entity/Q52114518,Barnaby Lee,silent film,1917-01-01T00:00:00Z,tt0176511,https://www.imdb.com/title/tt0176511/
http://www.wikidata.org/entity/Q52114518,Barnaby Lee,drama film,1917-01-01T00:00:00Z,tt0176511,https://www.imdb.com/title/tt0176511/
http://www.wikidata.org/entity/Q52114518,Barnaby Lee,historical film,1917-01-01T00:00:00Z,tt0176511,https://www.imdb.com/title/tt0176511/
http://www.wikidata.org/entity/Q52114518,Barnaby Lee,pirate film,1917-01-01T00:00:00Z,tt0176511,https://www.imdb.com/title/tt0176511/
http://www.wikidata.org/entity/Q3783925,Heart Strings,drama film,1917-01-22T00:00:00Z,tt0008063,https://www.imdb.com/title/tt0008063/
http://www.wikidata.org/entity/Q3783925,Heart Strings,silent film,1917-01-22T00:00:00Z,tt0008063,https://www.imdb.com/title/tt0008063/
http://www.wikidata.org/entity/Q7752909,The Mystery of the Double Cross,silent film,1917-03-18T00:00:00Z,tt0008355,https://www.imdb.com/title/tt0008355/
http://www.wikidata.org/entity/Q7752909,The Mystery of the Double Cross,adventure film,1917-03-18T00:00:00Z,tt0008355,https://www.imdb.com/title/tt0008355/
http://www.wikidata.org/entity/Q7752909,The Mystery of the Double Cross,action film,1917-03-18T00:00:00Z,tt0008355,https://www.imdb.com/title/tt0008355/
http://www.wikidata.org/entity/Q7752909,The Mystery of the Double Cross,serial film,1917-03-18T00:00:00Z,tt0008355,https://www.imdb.com/title/tt0008355/
http://www.wikidata.org/entity/Q15076287,Filling His Own Shoes,comedy film,1917-06-11T00:00:00Z,tt0007946,https://www.imdb.com/title/tt0007946/
http://www.wikidata.org/entity/Q52063574,Chris and His Wonderful Lamp,silent film,1917-07-14T00:00:00Z,tt0168582,https://www.imdb.com/title/tt0168582/
